City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vanimo,PG,83.82,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
3,Hilo,US,82.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
6,Zumarraga,PH,81.3,overcast clouds,11.6388,124.8417,Alegria
15,Butaritari,KI,83.26,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
17,Isangel,VU,77.11,scattered clouds,-19.55,169.2667,Tanna Lodge
18,Samarai,PG,79.54,overcast clouds,-10.6167,150.6667,Nuli Sapi
20,Garden City,US,80.85,scattered clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
21,Moussoro,TD,89.92,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
29,Kapaa,US,82.72,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Deoria,IN,87.37,broken clouds,26.5047,83.7872,Rajshree Inn
38,Kavieng,PG,84.0,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
40,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
44,Carutapera,BR,76.48,scattered clouds,-1.195,-46.02,Lidera
46,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
48,Snyder,US,79.14,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
50,Cockburn Town,TC,79.97,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
51,Atuona,PF,79.27,light rain,-9.8,-139.0333,Villa Enata
52,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
56,Sri Aman,MY,75.25,broken clouds,1.2376,111.4621,Seri Simanggang Hotel
63,Escondido,US,87.75,few clouds,33.1192,-117.0864,Holiday Inn Express & Suites San Diego-Escondido
68,Lompoc,US,84.78,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
72,Noumea,NC,75.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
