City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vanimo,PG,-2.6741,141.3028,83.82,72,83,2.86,broken clouds
1,Tuatapere,NZ,-46.1333,167.6833,49.82,77,91,8.34,overcast clouds
2,Olinda,BR,-8.0089,-34.8553,74.93,83,75,8.81,broken clouds
3,Hilo,US,19.7297,-155.09,82.8,69,1,12.66,clear sky
4,Rikitea,PF,-23.1203,-134.9692,72.63,66,83,13.87,broken clouds
5,Nizhniy Novgorod,RU,56.3287,44.002,53.11,62,0,11.27,clear sky
6,Zumarraga,PH,11.6388,124.8417,81.3,81,100,3.2,overcast clouds
7,Hermanus,ZA,-34.4187,19.2345,54.9,74,100,6.96,overcast clouds
8,Grindavik,IS,63.8424,-22.4338,50.56,81,90,29.01,overcast clouds
9,Cape Town,ZA,-33.9258,18.4232,55.11,94,97,2.89,fog
10,Punta Arenas,CL,-53.15,-70.9167,35.71,93,90,10.74,light rain
11,Ushuaia,AR,-54.8,-68.3,28.06,86,0,6.91,clear sky
12,Narsaq,GL,60.9167,-46.05,48.42,76,60,2.75,broken clouds
13,New Norfolk,AU,-42.7826,147.0587,49.5,47,77,7.87,broken clouds
14,Hobart,AU,-42.8794,147.3294,49.86,58,20,5.01,few clouds
15,Butaritari,KI,3.0707,172.7902,83.26,74,94,10.25,overcast clouds
16,Longyearbyen,SJ,78.2186,15.6401,35.44,75,75,12.66,broken clouds
17,Isangel,VU,-19.55,169.2667,77.11,73,40,13.09,scattered clouds
18,Samarai,PG,-10.6167,150.6667,79.54,86,85,9.04,overcast clouds
19,Flinders,AU,-34.5833,150.8552,63.18,66,27,4.0,scattered clouds
20,Garden City,US,42.3256,-83.331,80.85,59,40,1.01,scattered clouds
21,Moussoro,TD,13.6408,16.4901,89.92,31,8,8.5,clear sky
22,Xining,CN,36.6167,101.7667,54.68,28,22,2.95,few clouds
23,Fairbanks,US,64.8378,-147.7164,71.56,30,40,8.05,scattered clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,73.54,88,34,5.99,scattered clouds
25,Rio Gallegos,AR,-51.6226,-69.2181,35.65,93,90,3.44,light rain
26,Kajaani,FI,64.2273,27.7285,50.05,76,0,4.61,clear sky
27,Novobirilyussy,RU,56.9514,90.6661,51.37,96,100,3.2,overcast clouds
28,Mar Del Plata,AR,-38.0023,-57.5575,57.99,46,0,18.01,light rain
29,Kapaa,US,22.0752,-159.319,82.72,77,90,1.99,moderate rain
30,Shamkhal,RU,43.0596,47.3373,68.02,69,50,2.84,scattered clouds
31,Hasaki,JP,35.7333,140.8333,70.29,82,96,27.63,overcast clouds
32,Sitka,US,57.0531,-135.33,49.89,81,90,5.75,moderate rain
33,Qaanaaq,GL,77.484,-69.3632,26.42,84,27,4.23,scattered clouds
34,Albany,US,42.6001,-73.9662,70.41,83,97,6.93,overcast clouds
35,Jamestown,US,42.097,-79.2353,66.09,95,90,3.0,overcast clouds
36,Nara,JP,34.6851,135.8049,72.97,97,100,5.14,light rain
37,Deoria,IN,26.5047,83.7872,87.37,52,74,4.41,broken clouds
38,Kavieng,PG,-2.5744,150.7967,84.0,70,89,4.29,overcast clouds
39,Matagami,CA,49.7502,-77.6328,59.11,88,90,5.82,light rain
40,Vaini,TO,-21.2,-175.2,77.16,83,20,2.3,few clouds
41,Alekseyevsk,RU,57.8406,108.3492,73.81,36,5,5.73,clear sky
42,Okha,RU,53.5739,142.9478,39.65,98,100,13.62,moderate rain
43,Haines Junction,CA,60.7522,-137.5108,53.11,41,37,14.65,scattered clouds
44,Carutapera,BR,-1.195,-46.02,76.48,91,40,6.22,scattered clouds
45,Castro,BR,-24.7911,-50.0119,60.51,88,54,2.3,broken clouds
46,Victoria,HK,22.2855,114.1577,86.38,85,100,4.23,overcast clouds
47,Solnechnyy,RU,50.7214,136.6319,52.21,99,100,5.82,overcast clouds
48,Snyder,US,32.7179,-100.9176,79.14,47,1,8.05,clear sky
49,Mataura,NZ,-46.1927,168.8643,49.48,80,81,3.96,broken clouds
50,Cockburn Town,TC,21.4612,-71.1419,79.97,81,66,18.75,broken clouds
51,Atuona,PF,-9.8,-139.0333,79.27,82,42,17.83,light rain
52,Avarua,CK,-21.2078,-159.775,80.65,74,20,14.97,few clouds
53,Hervey Bay,AU,-25.2986,152.8535,67.03,85,100,1.01,overcast clouds
54,Mackay,AU,-21.15,149.2,73.38,73,39,10.36,scattered clouds
55,Carnarvon,AU,-24.8667,113.6333,51.87,93,1,11.5,clear sky
56,Sri Aman,MY,1.2376,111.4621,75.25,100,68,0.0,broken clouds
57,Mastic Beach,US,40.7668,-72.8521,66.49,89,90,1.01,overcast clouds
58,Pisco,PE,-13.7,-76.2167,64.45,72,0,11.5,clear sky
59,Qaqortoq,GL,60.7167,-46.0333,48.7,81,63,5.55,broken clouds
60,Barrow,US,71.2906,-156.7887,33.82,75,90,20.71,overcast clouds
61,Sur,OM,22.5667,59.5289,90.9,44,8,10.96,clear sky
62,Chapais,CA,49.7834,-74.8492,69.58,71,72,10.89,broken clouds
63,Escondido,US,33.1192,-117.0864,87.75,62,20,3.0,few clouds
64,Chuy,UY,-33.6971,-53.4616,51.71,70,36,7.11,scattered clouds
65,Port Alfred,ZA,-33.5906,26.891,55.76,68,49,6.89,scattered clouds
66,Dikson,RU,73.5069,80.5464,31.19,98,99,13.47,light snow
