City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2021-05-23 20:18:19,-46.6,168.3333,47.8,64,82,8.25
1,Qaanaaq,GL,2021-05-23 20:18:19,77.484,-69.3632,29.93,74,1,3.2
2,Mayna,RU,2021-05-23 20:18:20,54.1135,47.6231,59.9,98,100,8.55
3,Georgetown,MY,2021-05-23 20:13:40,5.4112,100.3354,82.89,83,20,4.09
4,Gamba,GA,2021-05-23 20:18:20,-2.65,10.0,76.82,90,100,6.29
5,Belz,FR,2021-05-23 20:18:21,47.6751,-3.168,55.09,94,100,10.0
6,Ushuaia,AR,2021-05-23 20:17:17,-54.8,-68.3,46.06,66,75,18.41
7,San Patricio,US,2021-05-23 20:18:21,28.017,-97.5169,87.78,66,96,7.29
8,Zhigansk,RU,2021-05-23 20:18:21,66.7697,123.3711,37.87,52,3,7.34
9,Dong Hoi,VN,2021-05-23 20:18:22,17.4833,106.6,80.46,84,59,3.22
10,Anadyr,RU,2021-05-23 20:18:22,64.75,177.4833,39.7,93,40,2.08
11,Mataura,NZ,2021-05-23 20:18:22,-46.1927,168.8643,38.05,96,7,1.36
12,Isla Vista,US,2021-05-23 20:18:23,34.4133,-119.861,79.34,52,1,8.05
13,Ahuimanu,US,2021-05-23 20:18:23,21.4447,-157.8378,81.79,78,90,10.36
14,Pevek,RU,2021-05-23 20:18:23,69.7008,170.3133,28.83,83,13,4.7
15,Nikolskoye,RU,2021-05-23 20:18:24,59.7035,30.7861,53.49,98,52,5.01
16,Abyek,IR,2021-05-23 20:18:24,36.0667,50.55,69.46,57,95,5.21
17,Dogondoutchi,NE,2021-05-23 20:18:24,13.6393,4.0287,97.07,21,66,5.86
18,Camopi,GF,2021-05-23 20:18:25,3.1655,-52.3158,78.42,97,100,4.32
19,Avera,US,2021-05-23 20:18:25,33.194,-82.5271,92.91,34,8,3.85
20,Bathsheba,BB,2021-05-23 20:18:25,13.2167,-59.5167,84.81,70,40,18.61
21,Vanimo,PG,2021-05-23 20:18:26,-2.6741,141.3028,77.65,88,100,2.68
22,Punta Arenas,CL,2021-05-23 20:18:26,-53.15,-70.9167,41.11,84,75,12.86
23,Busselton,AU,2021-05-23 20:18:26,-33.65,115.3333,44.1,65,76,15.12
24,Cape Town,ZA,2021-05-23 20:15:01,-33.9258,18.4232,64.35,46,0,7.47
25,Marsa Matruh,EG,2021-05-23 20:18:27,31.3525,27.2453,68.22,73,0,10.09
26,Sabang,ID,2021-05-23 20:17:06,5.8933,95.3214,84.56,74,100,16.89
27,Guilin,CN,2021-05-23 20:18:27,25.2819,110.2864,68.11,96,100,5.99
28,Jamestown,US,2021-05-23 20:18:28,42.097,-79.2353,81.72,70,90,7.0
29,Vaini,TO,2021-05-23 20:18:28,-21.2,-175.2,71.76,100,90,4.61
30,Albany,US,2021-05-23 20:16:58,42.6001,-73.9662,77.74,81,95,11.12
31,Rumoi,JP,2021-05-23 20:18:28,43.9344,141.6428,53.69,93,92,2.39
32,Rancho Palos Verdes,US,2021-05-23 20:18:29,33.7445,-118.387,81.36,72,40,1.99
33,Lhokseumawe,ID,2021-05-23 20:18:29,5.1801,97.1507,77.95,88,99,4.85
34,Koryazhma,RU,2021-05-23 20:18:29,61.3143,47.1691,60.21,62,100,4.59
35,Tonantins,BR,2021-05-23 20:18:30,-2.8731,-67.8022,83.19,86,12,3.6
36,Kapaa,US,2021-05-23 20:18:30,22.0752,-159.319,79.12,73,75,1.01
37,Ko Samui,TH,2021-05-23 20:15:18,9.5357,99.9357,84.83,70,100,12.12
38,Metro,ID,2021-05-23 20:18:30,-5.1131,105.3067,74.8,92,68,3.2
39,Souillac,MU,2021-05-23 20:18:31,-20.5167,57.5167,70.36,81,74,13.13
40,Sembabule,UG,2021-05-23 20:18:31,-0.0772,31.4567,62.96,91,98,6.67
41,Saint Anthony,US,2021-05-23 20:18:31,45.0205,-93.218,80.91,75,20,3.0
42,Hermanus,ZA,2021-05-23 20:18:32,-34.4187,19.2345,56.8,55,96,9.69
43,Bethel,US,2021-05-23 20:15:07,41.3712,-73.414,88.11,53,75,3.0
44,Mahebourg,MU,2021-05-23 20:16:05,-20.4081,57.7,70.25,80,63,13.04
45,Vilyuysk,RU,2021-05-23 20:18:32,63.7553,121.6247,37.71,53,1,3.49
46,Upernavik,GL,2021-05-23 20:18:33,72.7868,-56.1549,30.9,82,17,7.78
47,Kodiak,US,2021-05-23 20:18:33,57.79,-152.4072,49.51,71,1,6.91
48,Bredasdorp,ZA,2021-05-23 20:18:33,-34.5322,20.0403,56.52,51,96,5.68
49,Ust-Maya,RU,2021-05-23 20:18:34,60.4167,134.5333,42.67,69,100,7.81
50,Puro,PH,2021-05-23 20:18:34,12.4841,123.3827,81.21,81,0,5.57
51,Pokosnoye,RU,2021-05-23 20:18:34,55.5258,101.0536,41.16,89,90,4.14
52,Port Alfred,ZA,2021-05-23 20:17:01,-33.5906,26.891,64.94,44,67,10.36
53,Luderitz,NA,2021-05-23 20:18:35,-26.6481,15.1594,72.48,36,0,4.72
54,Kupang,ID,2021-05-23 20:18:35,-10.1667,123.5833,74.48,84,7,7.72
55,Miraflores,MX,2021-05-23 20:18:36,19.2167,-98.8083,75.96,37,83,2.17
56,Kushmurun,KZ,2021-05-23 20:18:36,52.4503,64.6311,73.35,30,6,8.1
57,Hobart,AU,2021-05-23 20:18:36,-42.8794,147.3294,49.12,89,0,5.99
58,Jieshi,CN,2021-05-23 20:18:37,22.8134,115.8257,81.7,86,57,4.23
59,Byron Bay,AU,2021-05-23 20:18:37,-28.65,153.6167,61.88,80,98,12.06
60,Katsuura,JP,2021-05-23 20:18:37,35.1333,140.3,66.31,88,81,2.66
61,Tuktoyaktuk,CA,2021-05-23 20:18:38,69.4541,-133.0374,33.8,86,75,10.36
62,Saint-Philippe,RE,2021-05-23 20:18:38,-21.3585,55.7679,72.95,82,92,12.46
63,Amuntai,ID,2021-05-23 20:18:38,-2.4177,115.2494,74.37,98,100,0.51
64,Wanaka,NZ,2021-05-23 20:18:39,-44.7,169.15,40.17,83,50,4.9
65,Colares,PT,2021-05-23 20:18:39,38.7992,-9.4469,60.48,67,20,13.0
66,Tshela,CD,2021-05-23 20:18:39,-4.9833,12.9333,73.65,91,97,2.15
67,Rikitea,PF,2021-05-23 20:18:40,-23.1203,-134.9692,74.32,68,35,3.89
68,Padang,ID,2021-05-23 20:18:40,-0.9492,100.3543,78.26,85,74,2.53
69,Moron,AR,2021-05-23 20:16:35,-34.6534,-58.6198,59.02,68,100,5.99
70,Provideniya,RU,2021-05-23 20:18:40,64.3833,-173.3,33.91,75,75,15.66
71,Burnie,AU,2021-05-23 20:18:41,-41.0667,145.9167,49.95,86,96,9.8
72,Norman Wells,CA,2021-05-23 20:18:41,65.282,-126.8329,50.04,93,90,10.36
73,Carmen,MX,2021-05-23 20:14:51,18.6333,-91.8333,87.84,66,75,3.44
74,San Cristobal,VE,2021-05-23 20:18:41,7.7669,-72.225,82.58,60,98,5.19
75,Roebourne,AU,2021-05-23 20:18:42,-20.7833,117.1333,72.5,58,80,9.53
76,Butaritari,KI,2021-05-23 20:15:15,3.0707,172.7902,82.8,77,45,16.73
77,Manzhouli,CN,2021-05-23 20:18:42,49.6,117.4333,35.78,66,41,20.33
78,Atuona,PF,2021-05-23 20:15:14,-9.8,-139.0333,79.61,80,24,19.44
